la falda;der Rock;Carla le gusta mi nueva falda.
la chaqueta;die Jacke;Me visto una chaqueta porque es frío.
el sombrero;der Hut;El sombrero protege me contra la sól.
la camisa;das Hemd;Mi jefe lleva puesta una camisa.
la camiseta;das T-Shirt;Lea lleva puesta una camiseta de colores.
el bolso;die Handtasche;El ladrón robó mi bolso.
las botas;die Stiefel;Las botas son hasta la rodilla.
la gorra;die Mütze;Me visto una gorra porque es frío.
los pantalones;die Hose;Tengo un agujero en los pantalones.
la sudadera;der Pullover;La sudadera se está rascando.
la paga;das Taschengeld;Tengo paga á tres euros.
ir a la moda;mit der Mode gehen;Carla siempre ir a la moda porque tiene estilo.
ir de tiendas;einkaufen gehen;Mi madre y yo vamos de tiendas para comprar cosas.
el estilo;der Stil;Me gusta el estilo de Carla.
el consumidor;der Kunde/die Kundin;En la tienda yo soy un consumidor.
el dinero;das Geld;No tengo dinero para comprar una cosa.
la ropa;die Kleidung;Sin ropa, estás desnudo.
comprar;kaufen;Raúl, compra algúnos plátanos.
ropa de marca;Markenkleidung;No necesito ropa de marca.
vestirse;sich ankleiden;Carla se está vistiendo.
